URL,Locality,Zip code,Type of property,Subtype of property,Price,Type of sale,Number of rooms,Living Area,Fully equipped kitchen,Furnished,Open fire,Terrace,Terrace area,Garden,Garden area,Surface of the land,Number of facades,Swimming pool,State of the building
https://immovlan.be/en/detail/apartment/for-sale/2440/geel/rbv24035,2440 Geel,2440,Apartment,apartment,295361.0,for sale,2.0,93.0,,,,1.0,,1.0,,,,,New
https://immovlan.be/en/detail/penthouse/for-sale/1020/laken/vbd74158,1020 Laken,1020,Apartment,penthouse,980000.0,for sale,4.0,230.0,,0.0,,1.0,,0.0,,,2.0,,
https://immovlan.be/en/detail/duplex/for-sale/1200/sint-lambrechts-woluwe/vbd84505,1200 Sint-Lambrechts-Woluwe,1200,Apartment,duplex,850000.0,for sale,4.0,227.0,Super equipped,0.0,,1.0,,0.0,,,3.0,0.0,Normal
https://immovlan.be/en/detail/residence/for-sale/1040/etterbeek/vbd55464,1040 Etterbeek,1040,House,residence,699000.0,for sale,6.0,225.0,,0.0,,1.0,,1.0,,160.0,2.0,,To be renovated
https://immovlan.be/en/detail/residence/for-sale/6900/marche-en-famenne/vbd78681,6900 Marche-en-Famenne,6900,House,residence,749000.0,for sale,5.0,380.0,Partially equipped,0.0,,1.0,,1.0,5500.0,6000.0,4.0,0.0,To renovate
https://immovlan.be/en/detail/apartment/for-sale/1140/evere/vbd61138,1140 Evere,1140,Apartment,apartment,220000.0,for sale,2.0,56.0,,1.0,,1.0,,0.0,,,,,
https://immovlan.be/en/detail/residence/for-sale/3630/opgrimbie/rbu83319,3630 Opgrimbie,3630,House,residence,225000.0,for sale,3.0,162.0,,0.0,,0.0,,1.0,,1037.0,4.0,,To be renovated
https://immovlan.be/en/detail/apartment/in-public-sale/1190/vorst/vbd78354,1190 Vorst,1190,Apartment,apartment,213000.0,in public sale,2.0,,,,,1.0,,0.0,,,,,
https://immovlan.be/en/detail/apartment/for-sale/1200/sint-lambrechts-woluwe/vbd85432,1200 Sint-Lambrechts-Woluwe,1200,Apartment,apartment,820000.0,for sale,3.0,130.0,,,0.0,1.0,,0.0,,,2.0,,New
https://immovlan.be/en/detail/residence/for-sale/5620/florennes/vbd78231,5620 Florennes,5620,House,residence,190000.0,for sale,3.0,160.0,,0.0,,0.0,,1.0,,434.0,4.0,,To be renovated
https://immovlan.be/en/detail/apartment/for-sale/1170/watermaal-bosvoorde/vbd78847,1170 Watermaal-Bosvoorde,1170,Apartment,apartment,365000.0,for sale,2.0,70.0,,,,1.0,,0.0,,,2.0,,
https://immovlan.be/en/detail/residence/for-sale/6984/hives/vbd51442,6984 Hives,6984,House,residence,450000.0,for sale,3.0,422.0,,,,1.0,,1.0,159.0,159.0,,,Normal
https://immovlan.be/en/detail/residence/for-sale/9500/geraardsbergen/rbv35533,9500 Geraardsbergen,9500,House,residence,99000.0,for sale,3.0,183.0,,0.0,,1.0,,1.0,,170.0,2.0,,To be renovated
https://immovlan.be/en/detail/residence/for-sale/3990/wijchmaal/rbu94699,3990 Wijchmaal,3990,House,residence,305000.0,for sale,4.0,155.0,,0.0,,1.0,,1.0,,564.0,3.0,,Normal
