URL,Locality,Type of property,Subtype of property,Price,Type of sale,Number of rooms,Living Area,Fully equipped kitchen,Furnished,Open fire,Terrace,Terrace area,Garden,Garden area,Surface of the land,Number of facades,Swimming pool,State of the building,Zip code
https://immovlan.be/en/detail/residence/for-sale/5580/jemelle/vbd88921,5580 Jemelle,Apartment,residence,125000,for sale,4.0,,,,,0.0,,1.0,,,,,To be renovated,5580
https://immovlan.be/en/detail/residence/for-sale/5580/rochefort/vbd88918,5580 Rochefort,Apartment,residence,408784,for sale,3.0,184.0,,,,,,1.0,,2000.0,4.0,,New,5580
https://immovlan.be/en/detail/residence/for-sale/5580/rochefort/vbd88917,5580 Rochefort,Apartment,residence,475851,for sale,4.0,220.0,,,,,,1.0,,2000.0,4.0,,New,5580
https://immovlan.be/en/detail/residence/for-sale/5330/assesse/vbd88912,5330 Assesse,Apartment,residence,240000,for sale,3.0,138.0,,0.0,,1.0,,1.0,,,4.0,0.0,To be renovated,5330
https://immovlan.be/en/detail/residence/in-public-sale/5550/chairiere/vbd88883,5550 Chairière,Apartment,residence,100000,in public sale,3.0,,,,,0.0,,1.0,,,,,,5550
https://immovlan.be/en/detail/residence/for-sale/5600/jamiolle/vbd88881,5600 Jamiolle,Apartment,residence,135000,for sale,2.0,126.0,,0.0,,0.0,,1.0,,,3.0,,Normal,5600
https://immovlan.be/en/detail/residence/for-sale/5630/cerfontaine/vbd88868,5630 Cerfontaine,Apartment,residence,165000,for sale,1.0,181.0,,0.0,,1.0,,1.0,,707.0,3.0,,To be renovated,5630
https://immovlan.be/en/detail/apartment/for-sale/5580/rochefort/vbd88825,5580 Rochefort,Apartment,apartment,125000,for sale,2.0,109.0,,0.0,,0.0,,0.0,,,3.0,,,5580
https://immovlan.be/en/detail/residence/for-sale/5580/rochefort/vbd88823,5580 Rochefort,Apartment,residence,145000,for sale,5.0,233.0,,0.0,,0.0,,1.0,543.0,543.0,3.0,,To be renovated,5580
https://immovlan.be/en/detail/residence/for-sale/5580/rochefort/vbd88822,5580 Rochefort,Apartment,residence,89000,for sale,2.0,,,0.0,,0.0,,1.0,390.0,,,,To be renovated,5580
https://immovlan.be/en/detail/residence/for-sale/5060/arsimont/vbd88813,5060 Arsimont,Apartment,residence,550000,for sale,3.0,200.0,,0.0,,1.0,,1.0,604.0,604.0,4.0,,New,5060
https://immovlan.be/en/detail/residence/for-sale/5300/nameche/vbd88751,5300 Namêche,Apartment,residence,165000,for sale,3.0,126.0,,0.0,,1.0,,1.0,570.0,780.0,3.0,,To be renovated,5300
https://immovlan.be/en/detail/residence/for-sale/5060/velaine-sur-sambre/vbd88742,5060 Velaine-sur-Sambre,Apartment,residence,150000,for sale,3.0,142.0,,0.0,,1.0,,0.0,,,3.0,,,5060
https://immovlan.be/en/detail/apartment/for-sale/5100/jambes/vbd88732,5100 Jambes,Apartment,apartment,199000,for sale,3.0,102.0,Fully equipped,,,1.0,,,,,,,Fully renovated,5100
https://immovlan.be/en/detail/residence/for-sale/5660/petigny/vbd88684,5660 Petigny,Apartment,residence,65000,for sale,3.0,,,,,0.0,,1.0,,640.0,,,To be renovated,5660
https://immovlan.be/en/detail/residence/for-sale/5070/fosses-la-ville/vbd88661,5070 Fosses-la-Ville,Apartment,residence,429620,for sale,3.0,190.0,,,,,,1.0,,1530.0,4.0,,New,5070
https://immovlan.be/en/detail/studio/for-sale/5500/dinant/vbd88641,5500 Dinant,Apartment,studio,78500,for sale,,29.0,,0.0,0.0,0.0,,0.0,,,,,Normal,5500
https://immovlan.be/en/detail/residence/for-sale/5660/aublain/vbd88616,5660 Aublain,Apartment,residence,340000,for sale,3.0,110.0,,0.0,0.0,1.0,,1.0,,1128.0,,,,5660
https://immovlan.be/en/detail/residence/for-sale/5660/petigny/vbd88613,5660 Petigny,Apartment,residence,75000,for sale,4.0,44.0,,0.0,0.0,1.0,,0.0,,1733.0,,,To be renovated,5660
https://immovlan.be/en/detail/residence/for-sale/5660/couvin/vbd88612,5660 Couvin,Apartment,residence,69000,for sale,2.0,62.0,,0.0,0.0,0.0,,1.0,,158.0,,,,5660
https://immovlan.be/en/detail/residence/for-sale/5680/doische/vbd88575,5680 Doische,Apartment,residence,377848,for sale,4.0,207.0,,,,,,1.0,,750.0,3.0,,New,5680
https://immovlan.be/en/detail/residence/for-sale/5680/doische/vbd88574,5680 Doische,Apartment,residence,347219,for sale,4.0,183.0,,,,,,1.0,,750.0,3.0,,New,5680
https://immovlan.be/en/detail/residence/for-sale/5680/doische/vbd88573,5680 Doische,Apartment,residence,347219,for sale,4.0,183.0,,,,,,1.0,,750.0,3.0,,New,5680
https://immovlan.be/en/detail/residence/for-sale/5680/doische/vbd88572,5680 Doische,Apartment,residence,302140,for sale,3.0,147.0,,,,,,1.0,,750.0,4.0,,New,5680
https://immovlan.be/en/detail/residence/for-sale/5530/godinne/vbd88556,5530 Godinne,Apartment,residence,319000,for sale,3,113.0,,0.0,,1.0,,1.0,,923.0,4.0,,,5530
https://immovlan.be/en/detail/villa/for-sale/5100/wepion/vbd88555,5000 Namur,Apartment,villa,645000,for sale,5,225.0,,0.0,,1.0,,1.0,1326.0,1326.0,4.0,,,5000
https://immovlan.be/en/detail/residence/for-sale/5580/rochefort/vbd88550,5580 Rochefort,Apartment,residence,220000,for sale,4,180.0,,0.0,,1.0,,1.0,,598.0,3.0,0.0,To be renovated,5580
https://immovlan.be/en/detail/residence/for-sale/5580/rochefort/vbd88531,5580 Rochefort,Apartment,residence,285000,for sale,2,234.0,Fully equipped,0.0,,1.0,,1.0,200.0,675.0,3.0,0.0,Normal,5580
https://immovlan.be/en/detail/apartment/for-sale/5100/wepion/vbd88503,5100 Wépion,Apartment,apartment,289000,for sale,3,100.0,,,,0.0,,,,,,,,5100
https://immovlan.be/en/detail/apartment/for-sale/5000/namur/vbd88441,5000 Namur,Apartment,apartment,136000,for sale,1,60.0,Partially equipped,0.0,,0.0,,0.0,,,2.0,0.0,Normal,5000
https://immovlan.be/en/detail/residence/for-sale/5351/haillot/vbd88431,5351 Haillot,Apartment,residence,290000,for sale,2,145.0,,0.0,,,,1.0,,905.0,4.0,,Normal,5351
https://immovlan.be/en/detail/residence/for-sale/5680/doische/vbd88421,5680 Doische,Apartment,residence,341184,for sale,3,184.0,,,,,,1.0,,750.0,4.0,,New,5680
https://immovlan.be/en/detail/residence/for-sale/5680/doische/vbd88420,5680 Doische,Apartment,residence,348844,for sale,3,179.0,,,,,,1.0,,750.0,3.0,,New,5680
https://immovlan.be/en/detail/residence/for-sale/5680/doische/vbd88419,5680 Doische,Apartment,residence,348844,for sale,3,179.0,,,,,,1.0,,750.0,3.0,,New,5680
https://immovlan.be/en/detail/residence/for-sale/5600/philippeville/vbd88418,5600 PHILIPPEVILLE,Apartment,residence,340340,for sale,3,147.0,,,,,,1.0,,1925.0,4.0,,New,5600
https://immovlan.be/en/detail/residence/for-sale/5600/philippeville/vbd88417,5600 PHILIPPEVILLE,Apartment,residence,379384,for sale,3,184.0,,,,,,1.0,,1925.0,4.0,,New,5600
https://immovlan.be/en/detail/residence/for-sale/5300/andenne/vbd88416,5300 Andenne,Apartment,residence,571884,for sale,3,184.0,,,,,,1.0,,1369.0,4.0,,New,5300
https://immovlan.be/en/detail/residence/for-sale/5300/andenne/vbd88415,5300 Andenne,Apartment,residence,535786,for sale,3,158.0,,,,,,1.0,,1369.0,4.0,,New,5300
https://immovlan.be/en/detail/residence/for-sale/5300/andenne/vbd88414,5300 Andenne,Apartment,residence,398511,for sale,3,190.0,,,,,,1.0,,2202.0,4.0,,New,5300
https://immovlan.be/en/detail/residence/for-sale/5300/andenne/vbd88413,5300 Andenne,Apartment,residence,370686,for sale,3,158.0,,,,,,1.0,,1615.0,4.0,,New,5300
https://immovlan.be/en/detail/residence/for-sale/5070/fosses-la-ville/vbd88288,5070 Fosses-la-Ville,Apartment,residence,650000,for sale,3,362.0,,0.0,,0.0,,1.0,1004.0,1004.0,4.0,,New,5070
https://immovlan.be/en/detail/residence/for-sale/5300/andenne/rbv28378,5300 Andenne,Apartment,residence,299000,for sale,3,192.0,,0.0,,1.0,,1.0,195.0,354.0,,,Normal,5300
https://immovlan.be/en/detail/residence/for-sale/5081/meux/vbd88133,5081 Meux,Apartment,residence,325000,for sale,3,120.0,,0.0,,1.0,,1.0,100.0,307.0,4.0,,To be renovated,5081
https://immovlan.be/en/detail/mixed-building/for-sale/5580/rochefort/vbd88026,5580 Rochefort,Apartment,mixed-building,359000,for sale,3,255.0,,0.0,,0.0,,0.0,,153.0,3.0,,Normal,5580
https://immovlan.be/en/detail/residence/for-sale/5680/gimnee/vbd88012,5680 Gimnée,Apartment,residence,265000,for sale,3,204.0,Fully equipped,0.0,,1.0,,1.0,1418.0,1622.0,4.0,0.0,Excellent,5680
