URL,Zip code,City,Type of property,Subtype of property,Price,Type of sale,Number of rooms,Living Area,Fully equipped kitchen,Furnished,Open fire,Terrace,Terrace area,Garden,Garden area,Surface of the land,Number of facades,Swimming pool,State of the building
https://immovlan.be/en/detail/apartment/for-sale/3020/herent/rbv38918,3020,Herent,Apartment,apartment,259000,for sale,1,46,,0,,0,,0,,,4,,1
https://immovlan.be/en/detail/apartment/for-sale/1410/waterloo/vbd86989,1410,Waterloo,Apartment,apartment,275000,for sale,1,55,1,0,,1,10,0,,,2,,1
https://immovlan.be/en/detail/residence/for-sale/9500/geraardsbergen/rbv24449,9500,Geraardsbergen,House,residence,370000,for sale,3,,,,,1,29,1,,283,2,,
https://immovlan.be/en/detail/apartment/for-sale/1200/sint-lambrechts-woluwe/vbd34684,1200,Sint-Lambrechts-Woluwe,Apartment,apartment,350000,for sale,2,93,2,0,,1,,1,,,2,0,1
https://immovlan.be/en/detail/apartment/for-sale/1480/tubize/vbd89020,1480,Tubize,Apartment,apartment,225000,for sale,2,85,,0,,1,,0,,,3,,
https://immovlan.be/en/detail/duplex/for-sale/3590/diepenbeek/rbv28184,3590,Diepenbeek,Apartment,duplex,279725,for sale,2,95,,0,,1,10,0,,,2,,4
https://immovlan.be/en/detail/apartment/for-sale/3700/tongeren/rbu58277,3700,Tongeren,Apartment,apartment,189000,for sale,1,,,,,1,6,1,,,,,4
https://immovlan.be/en/detail/apartment/for-sale/1140/evere/rbe89219,1140,Evere,Apartment,apartment,409000,for sale,3,101,2,0,,1,4,0,,,2,,4
https://immovlan.be/en/detail/apartment/for-sale/2200/herentals/rbv01311,2200,Herentals,Apartment,apartment,199000,for sale,2,84,,0,,1,,0,,,3,,1
https://immovlan.be/en/detail/residence/for-sale/3140/keerbergen/rbv29545,3140,Keerbergen,House,residence,575000,for sale,4,207,,,,1,,1,,801,4,,
https://immovlan.be/en/detail/studio/for-sale/4020/liege/vbd92832,4020,Liege,Apartment,studio,99000,for sale,0,49,1,0,,0,,0,,,3,0,1
https://immovlan.be/en/detail/apartment/for-sale/1200/sint-lambrechts-woluwe/vbd32156,1200,Sint-Lambrechts-Woluwe,Apartment,apartment,260000,for sale,1,57,2,0,,1,12,0,,,2,,2
https://immovlan.be/en/detail/residence/for-sale/2570/duffel/rbv34960,2570,Duffel,House,residence,295000,for sale,4,120,,,,1,12,1,,210,2,,
https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbd89160,1000,Brussels,Apartment,apartment,330000,for sale,2,84,,0,,1,12,0,,,2,,1
https://immovlan.be/en/detail/residence/for-sale/1400/nivelles/vbc78624,1400,Nivelles,House,residence,500000,for sale,5,215,2,,,1,62,1,172,298,3,0,1
https://immovlan.be/en/detail/studio/for-sale/3001/heverlee/rbv00881,3001,Heverlee,Apartment,studio,225000,for sale,1,23,3,1,,,,1,,,2,,2
https://immovlan.be/en/detail/residence/for-sale/3690/zutendaal/rbv09572,3690,Zutendaal,House,residence,245000,for sale,3,,,,,,,,,,,,
https://immovlan.be/en/detail/apartment/for-sale/1160/oudergem/vbd82230,1160,Oudergem,Apartment,apartment,180000,for sale,2,63,,0,,0,,1,,,2,0,0
https://immovlan.be/en/detail/residence/for-sale/1410/waterloo/vbd49225,1410,Waterloo,House,residence,575000,for sale,3,140,2,0,,1,25,1,819,819,4,0,2
https://immovlan.be/en/detail/apartment/for-sale/3550/heusden-zolder/rbv34346,3550,Heusden-Zolder,Apartment,apartment,309000,for sale,2,95,,,,1,46,0,,,,,
https://immovlan.be/en/detail/residence/for-sale/2900/schoten/vbd91989,2900,Schoten,House,residence,1416271,for sale,4,374,,,,,,,,3147,4,,4
https://immovlan.be/en/detail/apartment/for-sale/6040/jumet/vbd72262,6040,Jumet,Apartment,apartment,179000,for sale,2,93,,0,,0,,0,,,,,
https://immovlan.be/en/detail/apartment/for-sale/1140/evere/vbd37621,1140,Evere,Apartment,apartment,280000,for sale,2,97,,0,0,1,10,0,,,,,1
https://immovlan.be/en/detail/residence/for-sale/4430/ans/vbd91300,4430,Ans,House,residence,389000,for sale,3,128,3,,,1,27,1,285,384,3,0,1
https://immovlan.be/en/detail/villa/for-sale/1640/sint-genesius-rode/vbd61281,1640,Sint-Genesius-Rode,House,villa,1295000,for sale,4,345,,,,1,50,1,600,861,4,,
https://immovlan.be/en/detail/residence/for-sale/9300/aalst/rbu32999,9300,Aalst,House,residence,416160,for sale,3,131,,,,1,13,1,14,131,2,,4
https://immovlan.be/en/detail/apartment/for-sale/2140/borgerhout/rbv35856,2140,Borgerhout,Apartment,apartment,395000,for sale,3,128,,0,,1,10,0,,,2,,1
https://immovlan.be/en/detail/residence/for-sale/2242/pulderbos/rbv31501,2242,Pulderbos,House,residence,449000,for sale,3,183,,0,,1,,1,,1554,4,,0
https://immovlan.be/en/detail/apartment/for-sale/1600/sint-pieters-leeuw/rbv23194,1600,Sint-Pieters-Leeuw,Apartment,apartment,309000,for sale,2,92,,,,1,7,0,,,,,
https://immovlan.be/en/detail/ground-floor/for-sale/1140/evere/vbd88058,1140,Evere,Apartment,ground-floor,439000,for sale,1,81,2,0,,1,12,1,48,,3,0,4
https://immovlan.be/en/detail/mansion/for-sale/3806/velm/rbv17242,3806,Velm,Apartment,mansion,2450000,for sale,20,3000,,0,,0,,1,,64254,4,1,
https://immovlan.be/en/detail/residence/for-sale/2150/borsbeek/rwc41876,2150,Borsbeek,House,residence,495000,for sale,3,234,1,,,,,1,271,,,,1
https://immovlan.be/en/detail/apartment/for-sale/1040/etterbeek/vbd85346,1040,Etterbeek,Apartment,apartment,374000,for sale,1,75,,,0,1,4,0,,,2,,4
https://immovlan.be/en/detail/studio/for-sale/1090/jette/vbd50073,1090,Jette,Apartment,studio,165000,for sale,1,48,,0,,0,,0,,,,,
https://immovlan.be/en/detail/residence/for-sale/5580/rochefort/vbd88917,5580,Rochefort,House,residence,475851,for sale,4,220,,,,,,1,,2000,4,,4
