,URL,Zip code,City,Type of property,Subtype of property,Price,Type of sale,Number of rooms,Living Area,Fully equipped kitchen,Furnished,Open fire,Terrace,Garden,Garden area,Surface of the land,Number of facades,Swimming pool,State of the building
82,https://immovlan.be/en/detail/residence/for-sale/3580/beringen/rbu89169,3580,Beringen,House,residence,219000,for sale,3.0,158,2.0,0,0,1,1,255.0,322.0,2.0,0,2.0
83,https://immovlan.be/en/detail/apartment/for-sale/9940/evergem/rbv23334,9940,Evergem,Apartment,apartment,325000,for sale,2.0,105,2.0,0,0,1,0,0.0,649.0,3.0,0,3.0
84,https://immovlan.be/en/detail/apartment/for-sale/1040/etterbeek/vbd07609,1040,Etterbeek,Apartment,apartment,350000,for sale,3.0,124,2.0,0,0,1,1,255.0,649.0,3.0,0,2.0
85,https://immovlan.be/en/detail/residence/for-sale/6987/marcourt/vbd12637,6987,Marcourt,House,residence,99000,for sale,1.0,125,2.0,0,0,1,0,0.0,102.0,3.0,0,0.0
86,https://immovlan.be/en/detail/villa/for-sale/1332/genval/vbd25124,1332,Genval,House,villa,565000,for sale,3.0,150,2.0,0,1,1,1,300.0,815.0,4.0,0,2.0
87,https://immovlan.be/en/detail/residence/for-sale/1190/vorst/vbc97157,1190,Vorst,House,residence,599500,for sale,3.0,148,2.0,0,0,1,1,26.0,148.0,2.0,0,4.0
88,https://immovlan.be/en/detail/residence/for-sale/8210/zedelgem/rbv31059,8210,Zedelgem,House,residence,319000,for sale,3.0,128,2.0,0,0,0,1,255.0,208.0,2.0,0,2.0
89,https://immovlan.be/en/detail/residence/for-sale/9800/astene/rbv31566,9800,Astene,House,residence,445000,for sale,4.0,217,2.0,0,0,1,1,255.0,275.0,3.0,0,4.0
90,https://immovlan.be/en/detail/residence/for-sale/5364/schaltin/vbd90569,5364,Schaltin,House,residence,360000,for sale,3.0,158,2.0,0,0,1,1,255.0,1989.0,4.0,0,2.0
91,https://immovlan.be/en/detail/residence/for-sale/3700/berg/rbv15117,3700,Berg,House,residence,359000,for sale,3.0,279,2.0,0,0,1,1,255.0,157.0,3.0,0,2.0
92,https://immovlan.be/en/detail/residence/for-sale/7700/mouscron/vbd90721,7700,Mouscron,House,residence,110000,for sale,3.0,138,2.0,0,0,1,1,255.0,260.0,2.0,0,0.0
93,https://immovlan.be/en/detail/apartment/for-sale/9300/aalst/rbv17303,9300,Aalst,Apartment,apartment,345000,for sale,2.0,112,2.0,0,0,1,0,0.0,649.0,3.0,0,4.0
94,https://immovlan.be/en/detail/duplex/for-sale/1030/schaarbeek/vbd58880,1030,Schaarbeek,Apartment,duplex,330000,for sale,1.0,83,2.0,0,0,0,0,0.0,649.0,3.0,0,2.0
96,https://immovlan.be/en/detail/residence/for-sale/5621/hanzinelle/vbd52202,5621,Hanzinelle,House,residence,197000,for sale,3.0,169,3.0,0,0,1,1,246.0,433.0,3.0,0,1.0
97,https://immovlan.be/en/detail/residence/for-sale/5070/fosses-la-ville/vbd66873,5070,Fosses-la-Ville,House,residence,295000,for sale,4.0,165,2.0,0,1,1,1,1200.0,649.0,3.0,0,1.0
98,https://immovlan.be/en/detail/apartment/for-sale/1090/jette/vbd66309,1090,Jette,Apartment,apartment,250000,for sale,2.0,105,1.0,0,0,1,1,255.0,649.0,2.0,0,0.0
99,https://immovlan.be/en/detail/apartment/for-sale/1040/etterbeek/vbd90692,1040,Etterbeek,Apartment,apartment,460000,for sale,2.0,104,2.0,0,0,1,0,0.0,649.0,3.0,0,2.0
100,https://immovlan.be/en/detail/mixed-building/for-sale/1190/vorst/vba71423,1190,Vorst,House,mixed-building,289000,for sale,2.0,133,1.0,0,0,0,0,0.0,70.0,2.0,0,1.0
101,https://immovlan.be/en/detail/residence/for-sale/1150/sint-pieters-woluwe/vbd86280,1150,Sint-Pieters-Woluwe,House,residence,895000,for sale,5.0,262,2.0,0,0,1,1,255.0,140.0,2.0,0,2.0
102,https://immovlan.be/en/detail/apartment/for-sale/8670/koksijde/rbv34268,8670,Koksijde,Apartment,apartment,85000,for sale,1.0,26,2.0,1,0,0,0,0.0,649.0,3.0,0,2.0
103,https://immovlan.be/en/detail/villa/for-sale/1820/steenokkerzeel/rbv24464,1820,Steenokkerzeel,House,villa,549000,for sale,3.0,161,3.0,0,0,1,1,900.0,1119.0,4.0,0,1.0
104,https://immovlan.be/en/detail/studio/for-sale/1050/elsene/rbv27145,1050,Elsene,Apartment,studio,89500,for sale,1.0,21,2.0,1,0,0,1,255.0,649.0,2.0,0,1.0
105,https://immovlan.be/en/detail/bungalow/for-sale/5500/dinant/vbd59612,5500,Dinant,Apartment,bungalow,179000,for sale,3.0,77,3.0,0,0,1,1,350.0,669.0,3.0,0,0.0
106,https://immovlan.be/en/detail/apartment/for-sale/9041/oostakker/rbv35018,9041,Oostakker,Apartment,apartment,349000,for sale,2.0,84,2.0,0,0,1,1,255.0,649.0,2.0,0,4.0
107,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbd73604,1000,Brussels,Apartment,apartment,515000,for sale,2.0,127,2.0,1,0,0,0,0.0,649.0,3.0,0,3.0
108,https://immovlan.be/en/detail/villa/for-sale/2400/mol/rbv34001,2400,Mol,House,villa,494282,for sale,3.0,190,2.0,0,0,1,1,255.0,518.0,3.0,0,4.0
109,https://immovlan.be/en/detail/penthouse/for-sale/1200/sint-lambrechts-woluwe/vbc91044,1200,Sint-Lambrechts-Woluwe,Apartment,penthouse,445000,for sale,2.0,95,2.0,0,0,1,0,0.0,649.0,2.0,0,1.0
110,https://immovlan.be/en/detail/residence/for-sale/4041/milmort/vbd83344,4041,Milmort,House,residence,399000,for sale,5.0,163,3.0,0,0,1,1,154.0,267.0,3.0,1,4.0
111,https://immovlan.be/en/detail/residence/for-sale/1502/lembeek/rbu96549,1502,Lembeek,House,residence,285000,for sale,4.0,110,2.0,0,0,1,0,0.0,649.0,2.0,0,0.0
112,https://immovlan.be/en/detail/penthouse/for-sale/1200/sint-lambrechts-woluwe/vbd85430,1200,Sint-Lambrechts-Woluwe,Apartment,penthouse,1069000,for sale,3.0,152,2.0,0,0,1,0,0.0,649.0,2.0,0,4.0
113,https://immovlan.be/en/detail/mixed-building/for-sale/7500/tournai/vbd47081,7500,Tournai,House,mixed-building,495000,for sale,4.0,343,3.0,0,0,1,0,0.0,192.0,2.0,0,1.0
114,https://immovlan.be/en/detail/villa/for-sale/1410/waterloo/vbd20540,1410,Waterloo,House,villa,955000,for sale,3.0,272,2.0,0,0,1,1,1750.0,1828.0,4.0,1,1.0
115,https://immovlan.be/en/detail/villa/for-sale/1410/waterloo/vbc94738,1410,Waterloo,House,villa,769000,for sale,5.0,235,2.0,0,1,1,1,400.0,625.0,4.0,0,2.0
116,https://immovlan.be/en/detail/studio/for-sale/1030/schaarbeek/vbd84459,1030,Schaarbeek,Apartment,studio,179000,for sale,3.0,40,2.0,0,0,0,0,0.0,649.0,3.0,0,1.0
117,https://immovlan.be/en/detail/residence/for-sale/1000/brussels/vbd50340,1000,Brussels,House,residence,1600000,for sale,3.0,628,2.0,0,0,0,0,0.0,286.0,3.0,0,2.0
118,https://immovlan.be/en/detail/residence/for-sale/9700/leupegem/rbu49899,9700,Leupegem,House,residence,329000,for sale,3.0,130,2.0,0,0,1,1,255.0,181.0,3.0,0,4.0
120,https://immovlan.be/en/detail/residence/for-sale/9500/geraardsbergen/rbv33829,9500,Geraardsbergen,House,residence,329000,for sale,4.0,281,2.0,0,0,1,0,0.0,337.0,2.0,0,2.0
121,https://immovlan.be/en/detail/studio/for-sale/1070/anderlecht/rbu96607,1070,Anderlecht,Apartment,studio,138750,for sale,1.0,25,2.0,0,0,0,0,0.0,649.0,3.0,0,2.0
122,https://immovlan.be/en/detail/residence/for-sale/4560/bois-et-borsu/vbd90376,4560,Bois-et-Borsu,House,residence,349000,for sale,4.0,184,2.0,0,1,1,1,255.0,1375.0,3.0,0,1.0
123,https://immovlan.be/en/detail/residence/for-sale/6941/durbuy/vbd52328,6941,Durbuy,House,residence,354480,for sale,3.0,105,2.0,0,0,1,1,255.0,606.0,3.0,0,4.0
124,https://immovlan.be/en/detail/apartment/for-sale/1050/elsene/vbd82540,1050,Elsene,Apartment,apartment,415000,for sale,1.0,63,2.0,0,0,1,0,0.0,649.0,2.0,0,2.0
125,https://immovlan.be/en/detail/apartment/for-sale/1160/oudergem/vbd84339,1160,Oudergem,Apartment,apartment,795000,for sale,3.0,125,2.0,0,0,1,0,0.0,649.0,3.0,0,4.0
126,https://immovlan.be/en/detail/apartment/for-sale/1050/elsene/vbd91729,1050,Elsene,Apartment,apartment,345000,for sale,2.0,126,3.0,0,0,1,0,0.0,649.0,2.0,0,0.0
127,https://immovlan.be/en/detail/studio/for-sale/1000/brussels/vbd89149,1000,Brussels,Apartment,studio,270000,for sale,3.0,54,2.0,0,0,1,0,0.0,649.0,2.0,0,4.0
128,https://immovlan.be/en/detail/residence/for-sale/5020/malonne/vbd85608,5020,Malonne,House,residence,399546,for sale,3.0,158,2.0,0,0,0,1,255.0,802.0,4.0,0,4.0
129,https://immovlan.be/en/detail/apartment/for-sale/1150/sint-pieters-woluwe/vbd74319,1150,Sint-Pieters-Woluwe,Apartment,apartment,395000,for sale,2.0,107,2.0,0,0,1,0,0.0,649.0,2.0,0,1.0
130,https://immovlan.be/en/detail/residence/for-sale/5030/gembloux/vbd67164,5030,Gembloux,House,residence,449000,for sale,4.0,180,2.0,0,0,1,1,255.0,830.0,4.0,0,4.0
131,https://immovlan.be/en/detail/apartment/for-sale/1040/etterbeek/vbd78908,1040,Etterbeek,Apartment,apartment,485000,for sale,3.0,130,3.0,0,0,1,0,0.0,649.0,2.0,0,1.0
132,https://immovlan.be/en/detail/apartment/for-sale/1070/anderlecht/vbd80135,1070,Anderlecht,Apartment,apartment,229000,for sale,1.0,84,2.0,0,0,0,0,0.0,649.0,3.0,0,2.0
133,https://immovlan.be/en/detail/apartment/for-sale/8400/oostende/rbv35893,8400,Oostende,Apartment,apartment,189000,for sale,1.0,34,2.0,0,0,1,0,0.0,649.0,2.0,0,1.0
134,https://immovlan.be/en/detail/residence/for-sale/6940/barvaux-sur-ourthe/rwc41811,6940,Barvaux-sur-Ourthe,House,residence,465000,for sale,4.0,240,2.0,0,0,1,0,0.0,649.0,4.0,0,1.0
135,https://immovlan.be/en/detail/apartment/for-sale/7900/leuze-en-hainaut/vbd88518,7900,Leuze-en-Hainaut,Apartment,apartment,180000,for sale,1.0,78,2.0,0,0,0,0,0.0,649.0,3.0,0,2.0
136,https://immovlan.be/en/detail/residence/for-sale/4845/jalhay/vbd55555,4845,Jalhay,House,residence,599000,for sale,4.0,223,2.0,0,0,1,1,663.0,818.0,4.0,0,2.0
137,https://immovlan.be/en/detail/master-house/for-sale/9600/ronse/rbv31453,9600,Ronse,House,master-house,399000,for sale,5.0,314,2.0,0,0,1,1,255.0,310.0,2.0,0,2.0
138,https://immovlan.be/en/detail/residence/for-sale/1470/genappe/vbd52349,1470,Genappe,House,residence,345000,for sale,3.0,126,1.0,0,0,1,1,200.0,300.0,3.0,0,2.0
139,https://immovlan.be/en/detail/ground-floor/for-sale/2660/hoboken/rbv24542,2660,Hoboken,Apartment,ground-floor,350000,for sale,2.0,107,2.0,0,0,1,1,255.0,649.0,2.0,0,2.0
140,https://immovlan.be/en/detail/apartment/for-sale/1410/waterloo/vbd70420,1410,Waterloo,Apartment,apartment,460000,for sale,3.0,115,2.0,0,0,1,0,0.0,649.0,4.0,0,2.0
141,https://immovlan.be/en/detail/residence/for-sale/1501/buizingen/rbv18196,1501,Buizingen,House,residence,335000,for sale,4.0,210,2.0,0,0,1,1,255.0,495.0,3.0,0,1.0
142,https://immovlan.be/en/detail/apartment/for-sale/9000/gent/rbv31439,9000,Gent,Apartment,apartment,395000,for sale,3.0,96,2.0,0,0,1,1,255.0,649.0,2.0,0,4.0
143,https://immovlan.be/en/detail/apartment/for-sale/1190/vorst/vbd15179,1190,Vorst,Apartment,apartment,215000,for sale,2.0,80,3.0,0,0,1,0,0.0,649.0,3.0,0,0.0
144,https://immovlan.be/en/detail/residence/for-sale/1150/sint-pieters-woluwe/vbd33390,1150,Sint-Pieters-Woluwe,House,residence,990000,for sale,5.0,256,2.0,0,0,1,1,255.0,600.0,3.0,0,1.0
145,https://immovlan.be/en/detail/residence/for-sale/1350/orp-le-grand/vbd88138,1350,Orp-le-Grand,House,residence,625000,for sale,4.0,220,2.0,0,0,1,1,255.0,2600.0,4.0,0,2.0
147,https://immovlan.be/en/detail/apartment/for-sale/2300/turnhout/rbv30015,2300,Turnhout,Apartment,apartment,395000,for sale,2.0,135,2.0,0,0,1,0,0.0,649.0,2.0,0,4.0
148,https://immovlan.be/en/detail/apartment/for-sale/1070/anderlecht/rbu38073,1070,Anderlecht,Apartment,apartment,219000,for sale,2.0,92,2.0,0,0,1,0,0.0,649.0,3.0,0,0.0
150,https://immovlan.be/en/detail/residence/for-sale/9550/herzele/rbu71733,9550,Herzele,House,residence,199000,for sale,5.0,364,2.0,0,0,1,1,255.0,1137.0,3.0,0,2.0
151,https://immovlan.be/en/detail/residence/for-sale/5190/jemeppe-sur-sambre/vbd47422,5190,Jemeppe-Sur-Sambre,House,residence,195000,for sale,2.0,143,3.0,0,0,0,1,353.0,462.0,4.0,0,0.0
